route_id,route_short_name,route_long_name,route_type
1_UP,1,Jayanagara 9th Block to Yeshwanathapura new railway station,3
1_DOWN,1,Yeshwanathapura new railway station to Jayanagara 9th Block,3
1E_UP,1E,JPNagara 6th Phase to Chowdeshwari Bus Stand JP Park,3
1E_DOWN,1E,Chowdeshwari Bus Stand JP Park to JPNagara 6th Phase,3
CCC-1A_UP,CCC-1A,City Civil Court to City Civil Court,3
CCC-1A_DOWN,CCC-1A,City Civil Court to City Civil Court,3
FDR-1_UP,FDR-1,Vasanthapura to Vasanthapura,3
FDR-1_DOWN,FDR-1,Vasanthapura to Vasanthapura,3
G-1_UP,G-1,MG Road to Kadugodi,3
G-1_DOWN,G-1,Kadugodi to MG Road,3
K-1_UP,K-1,Central Silk Board to Yeshwanathapura new railway station,3
K-1_DOWN,K-1,Yeshwanathapura new railway station to Central Silk Board,3
KHC-1_UP,KHC-1,Mysore Bank to Mysore Bank,3
KHC-1_DOWN,KHC-1,Mysore Bank to Mysore Bank,3
MBS-1_UP,MBS-1,JP Nagar 6th Phase to Ganga Nagara,3
MBS-1_DOWN,MBS-1,Ganga Nagara to JP Nagar 6th Phase,3
MF-1_UP,MF-1,Kempegowda Bus Station to Kempegowda Bus Station,3
MF-1_DOWN,MF-1,Kempegowda Bus Station to Kempegowda Bus Station,3
MMF-1_UP,MMF-1,Sampige Road Metro Station to Kempegowda Bus Station,3
MMF-1_DOWN,MMF-1,Kempegowda Bus Station to Sampige Road Metro Station,3
NLMF-1_UP,NLMF-1,Peenya 2nd stage to Chikkabanawara,3
NLMF-1_DOWN,NLMF-1,Chikkabanawara to Peenya 2nd stage,3
WFS-1_UP,WFS-1,Borewell to Borewell,3
WFS-1_DOWN,WFS-1,Borewell to Borewell,3
2_UP,2,JPNagara 6th Phase to Kempegowda Bus Station,3
2_DOWN,2,Kempegowda Bus Station to JPNagara 6th Phase,3
2A_UP,2A,JP Nagara 1st Phase to Kempegowda Bus Station,3
2A_DOWN,2A,Kempegowda Bus Station to JP Nagara 1st Phase,3
2B_UP,2B,Eliyas Nagar to Kempegowda Bus Station,3
2B_DOWN,2B,Kempegowda Bus Station to Eliyas Nagar,3
2D_UP,2D,JPNagara 6th Phase to City Railway Station,3
2D_DOWN,2D,City Railway Station to JPNagara 6th Phase,3
2E_UP,2E,JPNagara 6th Phase to Kempegowda Bus Station,3
2E_DOWN,2E,Kempegowda Bus Station to JPNagara 6th Phase,3
CHAKRA-2_UP,CHAKRA-2,Banashankari Bus Station to Banashankari Bus Station,3
CHAKRA-2_DOWN,CHAKRA-2,Banashankari Bus Station to Banashankari Bus Station,3
FDR-2_UP,FDR-2,Vasanthapura to Vasanthapura,3
FDR-2_DOWN,FDR-2,Vasanthapura to Vasanthapura,3
KBS-3E_UP,KBS-3E,Kempegowda Bus Station to Electronic City Wipro Gate,3
KBS-3E_DOWN,KBS-3E,Electronic City Wipro Gate to Kempegowda Bus Station,3
MF-3_UP,MF-3,BANASHANKARI TTMC to Shivajinagar Bus Station,3
MF-3_DOWN,MF-3,Shivajinagar Bus Station to BANASHANKARI TTMC,3
TR-3_UP,TR-3,Kaval Byrasandra to Ejipura,3
TR-3_DOWN,TR-3,Ejipura to Kaval Byrasandra,3
BC-4A_UP,BC-4A,Jayanagara 4th Block to Yelenahalli,3
BC-4A_DOWN,BC-4A,Yelenahalli to Jayanagara 4th Block,3
CHAKRA-4_UP,CHAKRA-4,Vijayanagara TTMC to Vijayanagara TTMC,3
CHAKRA-4_DOWN,CHAKRA-4,Vijayanagara TTMC to Vijayanagara TTMC,3
CHAKRA-4A_UP,CHAKRA-4A,Vijayanagara TTMC to Vijayanagara TTMC,3
CHAKRA-4A_DOWN,CHAKRA-4A,Vijayanagara TTMC to Vijayanagara TTMC,3
G-4_UP,G-4,Brigade Road to Bannerghatta National Park,3
G-4_DOWN,G-4,Bannerghatta National Park to Brigade Road,3
HS-4_UP,HS-4,Krishnarajendra Market to Jayadeva Hospital,3
HS-4_DOWN,HS-4,Jayadeva Hospital to Krishnarajendra Market,3
K-4_UP,K-4,Nagarabhavi BDA Complex to CV Raman Nagara,3
K-4_DOWN,K-4,CV Raman Nagara to Nagarabhavi BDA Complex,3
MF-4_UP,MF-4,Kalyananagara Bus Stand to Central Silk Board,3
MF-4_DOWN,MF-4,Central Silk Board to Kalyananagara Bus Stand,3
TR-4_UP,TR-4,Jagajeevanram Nagara to Nagavara,3
TR-4_DOWN,TR-4,Nagavara to Jagajeevanram Nagara,3
TR-4A_UP,TR-4A,Jagajeevanram Nagara to Ramakrishna Hegde Nagara,3
TR-4A_DOWN,TR-4A,Ramakrishna Hegde Nagara to Jagajeevanram Nagara,3
G-5_UP,G-5,Corporation to Kaggalipura,3
G-5_DOWN,G-5,Kaggalipura to Corporation,3
K-5_UP,K-5,HSR BDA COMPLEX to Bagalagunte,3
K-5_DOWN,K-5,Bagalagunte to HSR BDA COMPLEX,3
KBS-5H_UP,KBS-5H,Kempegowda Bus Station to Harohalli,3
KBS-5H_DOWN,KBS-5H,Harohalli to Kempegowda Bus Station,3
MBS-5_UP,MBS-5,Katriguppe to Jalahalli Cross,3
MBS-5_DOWN,MBS-5,Jalahalli Cross to Katriguppe,3
MF-5_UP,MF-5,Central Silk Board to Old Bayappanahalli,3
MF-5_DOWN,MF-5,Old Bayappanahalli to Central Silk Board,3
MKT-5H_UP,MKT-5H,Krishnarajendra Market to Harohalli,3
MKT-5H_DOWN,MKT-5H,Harohalli to Krishnarajendra Market,3
BC-6_UP,BC-6,Uttarahalli to Hullala Upanagara,3
BC-6_DOWN,BC-6,Hullala Upanagara to Uttarahalli,3
D-6_UP,D-6,Kengeri Satelite Town to Kadugodi,3
D-6_DOWN,D-6,Kadugodi to Kengeri Satelite Town,3
G-6_UP,G-6,Shanthinagar TTMC to Shirke KHB Quarters,3
G-6_DOWN,G-6,Shirke KHB Quarters to Shanthinagar TTMC,3
K-6_UP,K-6,Jambu Savari Dinne to Kalyananagara Bus Stand,3
K-6_DOWN,K-6,Kalyananagara Bus Stand to Jambu Savari Dinne,3
MBS-6_UP,MBS-6,CV Raman Nagara to Vidyaranyapura,3
MBS-6_DOWN,MBS-6,Vidyaranyapura to CV Raman Nagara,3
MF-6_UP,MF-6,Thambuchetty Palya to Mangammana Palya,3
MF-6_DOWN,MF-6,Mangammana Palya to Thambuchetty Palya,3
TR-6_UP,TR-6,Girinagara Extention to Sadhashivanagar,3
TR-6_DOWN,TR-6,Sadhashivanagar to Girinagara Extention,3
7D_UP,7D,BANASHANKARI TTMC to Jeevan Bhimanagara Bus stand,3
7D_DOWN,7D,Jeevan Bhimanagara Bus stand to BANASHANKARI TTMC,3
7E_UP,7E,JPNagara 6th Phase to Domlur,3
7E_DOWN,7E,Domlur to JPNagara 6th Phase,3
7F_UP,7F,JPNagara 6th Phase to Jeevan Bhimanagara Bus stand,3
7F_DOWN,7F,Jeevan Bhimanagara Bus stand to JPNagara 6th Phase,3
BC-7_UP,BC-7,Jalahalli Cross to Hullala Upanagara,3
BC-7_DOWN,BC-7,Hullala Upanagara to Jalahalli Cross,3
BC-7B_UP,BC-7B,8th Mile T Dasarahalli to Byadarahalli,3
BC-7B_DOWN,BC-7B,Byadarahalli to 8th Mile T Dasarahalli,3
BC-7C_UP,BC-7C,Jalahalli Cross to Byadarahalli,3
BC-7C_DOWN,BC-7C,Byadarahalli to Jalahalli Cross,3
BC-7E_UP,BC-7E,Tumkur Road 8th Mile to Byadarahalli,3
BC-7E_DOWN,BC-7E,Byadarahalli to Tumkur Road 8th Mile,3
FDR-7_UP,FDR-7,Chikkallasandra Bus Stand to Chikkallasandra Bus Stand,3
FDR-7_DOWN,FDR-7,Chikkallasandra Bus Stand to Chikkallasandra Bus Stand,3
G-7_UP,G-7,Kempegowda Bus Station to Janapriya Town Ship,3
G-7_DOWN,G-7,Janapriya Town Ship to Kempegowda Bus Station,3
MF-7_UP,MF-7,Srinivasapura to Kadugodi,3
MF-7_DOWN,MF-7,Kadugodi to Srinivasapura,3
TR-7_UP,TR-7,Banashankari 3rd Stage 2nd Phase to Jeevanahalli,3
TR-7_DOWN,TR-7,Jeevanahalli to Banashankari 3rd Stage 2nd Phase,3
BC-8_UP,BC-8,Jalahalli Cross to Vidyaranyapura,3
BC-8_DOWN,BC-8,Vidyaranyapura to Jalahalli Cross,3
BC-8A_UP,BC-8A,Abbigere Village to Peenya 2nd stage,3
BC-8A_DOWN,BC-8A,Peenya 2nd stage to Abbigere Village,3
G-8_UP,G-8,Nelamangala to MGRoad,3
G-8_DOWN,G-8,MGRoad to Nelamangala,3
MBS-8_UP,MBS-8,Kalyananagara Bus Stand to Banashankari Bus Station,3
MBS-8_DOWN,MBS-8,Banashankari Bus Station to Kalyananagara Bus Stand,3
9_UP,9,MICO Layout Checkpost to Kempegowda Bus Station,3
9_DOWN,9,Kempegowda Bus Station to MICO Layout Checkpost,3
BC-9_UP,BC-9,Byatarayana Pura to NAGAVARA JUNCTION,3
BC-9_DOWN,BC-9,NAGAVARA JUNCTION to Byatarayana Pura,3
BC-9B_UP,BC-9B,Hebbala Bridge to Avalahalli,3
BC-9B_DOWN,BC-9B,Avalahalli to Hebbala Bridge,3
BC-9D_UP,BC-9D,Hebbala to Bagaluru,3
BC-9D_DOWN,BC-9D,Bagaluru to Hebbala,3
G-9_UP,G-9,Yelahanka Satelite Town 5th Phase to Maniksha Parade Ground,3
G-9_DOWN,G-9,Maniksha Parade Ground to Yelahanka Satelite Town 5th Phase,3
