route_id,service_id,trip_id
1_UP,AD,1_UP_1
1_UP,AD,1_UP_2
1_UP,AD,1_UP_3
1_UP,AD,1_UP_4
1_UP,AD,1_UP_5
1_UP,AD,1_UP_6
1_UP,AD,1_UP_7
1_UP,AD,1_UP_8
1_UP,AD,1_UP_9
1_UP,AD,1_UP_10
1_UP,AD,1_UP_11
1_UP,AD,1_UP_12
1_DOWN,AD,1_DOWN_1
1_DOWN,AD,1_DOWN_2
1_DOWN,AD,1_DOWN_3
1_DOWN,AD,1_DOWN_4
1_DOWN,AD,1_DOWN_5
1_DOWN,AD,1_DOWN_6
1_DOWN,AD,1_DOWN_7
1_DOWN,AD,1_DOWN_8
1_DOWN,AD,1_DOWN_9
1_DOWN,AD,1_DOWN_10
1_DOWN,AD,1_DOWN_11
1E_UP,AD,1E_UP_1
1E_UP,AD,1E_UP_2
1E_UP,AD,1E_UP_3
1E_UP,AD,1E_UP_4
1E_DOWN,AD,1E_DOWN_1
1E_DOWN,AD,1E_DOWN_2
1E_DOWN,AD,1E_DOWN_3
1E_DOWN,AD,1E_DOWN_4
CCC-1A_UP,AD,CCC-1A_UP_1
CCC-1A_UP,AD,CCC-1A_UP_2
CCC-1A_UP,AD,CCC-1A_UP_3
CCC-1A_UP,AD,CCC-1A_UP_4
CCC-1A_UP,AD,CCC-1A_UP_5
CCC-1A_UP,AD,CCC-1A_UP_6
CCC-1A_UP,AD,CCC-1A_UP_7
CCC-1A_DOWN,AD,CCC-1A_DOWN_1
CCC-1A_DOWN,AD,CCC-1A_DOWN_2
CCC-1A_DOWN,AD,CCC-1A_DOWN_3
CCC-1A_DOWN,AD,CCC-1A_DOWN_4
CCC-1A_DOWN,AD,CCC-1A_DOWN_5
CCC-1A_DOWN,AD,CCC-1A_DOWN_6
CCC-1A_DOWN,AD,CCC-1A_DOWN_7
FDR-1_UP,AD,FDR-1_UP_1
FDR-1_UP,AD,FDR-1_UP_2
FDR-1_UP,AD,FDR-1_UP_3
FDR-1_UP,AD,FDR-1_UP_4
FDR-1_UP,AD,FDR-1_UP_5
FDR-1_UP,AD,FDR-1_UP_6
FDR-1_UP,AD,FDR-1_UP_7
FDR-1_UP,AD,FDR-1_UP_8
FDR-1_UP,AD,FDR-1_UP_9
FDR-1_UP,AD,FDR-1_UP_10
FDR-1_UP,AD,FDR-1_UP_11
FDR-1_UP,AD,FDR-1_UP_12
FDR-1_UP,AD,FDR-1_UP_13
FDR-1_UP,AD,FDR-1_UP_14
FDR-1_UP,AD,FDR-1_UP_15
FDR-1_UP,AD,FDR-1_UP_16
FDR-1_UP,AD,FDR-1_UP_17
FDR-1_UP,AD,FDR-1_UP_18
FDR-1_UP,AD,FDR-1_UP_19
FDR-1_UP,AD,FDR-1_UP_20
FDR-1_UP,AD,FDR-1_UP_21
FDR-1_UP,AD,FDR-1_UP_22
FDR-1_UP,AD,FDR-1_UP_23
FDR-1_UP,AD,FDR-1_UP_24
FDR-1_UP,AD,FDR-1_UP_25
FDR-1_UP,AD,FDR-1_UP_26
FDR-1_UP,AD,FDR-1_UP_27
FDR-1_UP,AD,FDR-1_UP_28
FDR-1_UP,AD,FDR-1_UP_29
FDR-1_UP,AD,FDR-1_UP_30
FDR-1_UP,AD,FDR-1_UP_31
FDR-1_UP,AD,FDR-1_UP_32
FDR-1_UP,AD,FDR-1_UP_33
FDR-1_UP,AD,FDR-1_UP_34
FDR-1_UP,AD,FDR-1_UP_35
FDR-1_UP,AD,FDR-1_UP_36
FDR-1_UP,AD,FDR-1_UP_37
FDR-1_UP,AD,FDR-1_UP_38
FDR-1_UP,AD,FDR-1_UP_39
FDR-1_UP,AD,FDR-1_UP_40
FDR-1_UP,AD,FDR-1_UP_41
FDR-1_UP,AD,FDR-1_UP_42
FDR-1_UP,AD,FDR-1_UP_43
FDR-1_UP,AD,FDR-1_UP_44
FDR-1_UP,AD,FDR-1_UP_45
FDR-1_UP,AD,FDR-1_UP_46
FDR-1_UP,AD,FDR-1_UP_47
FDR-1_UP,AD,FDR-1_UP_48
FDR-1_UP,AD,FDR-1_UP_49
FDR-1_UP,AD,FDR-1_UP_50
FDR-1_UP,AD,FDR-1_UP_51
FDR-1_UP,AD,FDR-1_UP_52
FDR-1_UP,AD,FDR-1_UP_53
FDR-1_UP,AD,FDR-1_UP_54
FDR-1_DOWN,AD,FDR-1_DOWN_1
FDR-1_DOWN,AD,FDR-1_DOWN_2
FDR-1_DOWN,AD,FDR-1_DOWN_3
FDR-1_DOWN,AD,FDR-1_DOWN_4
FDR-1_DOWN,AD,FDR-1_DOWN_5
FDR-1_DOWN,AD,FDR-1_DOWN_6
FDR-1_DOWN,AD,FDR-1_DOWN_7
FDR-1_DOWN,AD,FDR-1_DOWN_8
FDR-1_DOWN,AD,FDR-1_DOWN_9
FDR-1_DOWN,AD,FDR-1_DOWN_10
FDR-1_DOWN,AD,FDR-1_DOWN_11
FDR-1_DOWN,AD,FDR-1_DOWN_12
FDR-1_DOWN,AD,FDR-1_DOWN_13
FDR-1_DOWN,AD,FDR-1_DOWN_14
FDR-1_DOWN,AD,FDR-1_DOWN_15
FDR-1_DOWN,AD,FDR-1_DOWN_16
FDR-1_DOWN,AD,FDR-1_DOWN_17
FDR-1_DOWN,AD,FDR-1_DOWN_18
FDR-1_DOWN,AD,FDR-1_DOWN_19
FDR-1_DOWN,AD,FDR-1_DOWN_20
FDR-1_DOWN,AD,FDR-1_DOWN_21
FDR-1_DOWN,AD,FDR-1_DOWN_22
FDR-1_DOWN,AD,FDR-1_DOWN_23
FDR-1_DOWN,AD,FDR-1_DOWN_24
FDR-1_DOWN,AD,FDR-1_DOWN_25
FDR-1_DOWN,AD,FDR-1_DOWN_26
FDR-1_DOWN,AD,FDR-1_DOWN_27
FDR-1_DOWN,AD,FDR-1_DOWN_28
FDR-1_DOWN,AD,FDR-1_DOWN_29
FDR-1_DOWN,AD,FDR-1_DOWN_30
FDR-1_DOWN,AD,FDR-1_DOWN_31
FDR-1_DOWN,AD,FDR-1_DOWN_32
FDR-1_DOWN,AD,FDR-1_DOWN_33
FDR-1_DOWN,AD,FDR-1_DOWN_34
FDR-1_DOWN,AD,FDR-1_DOWN_35
FDR-1_DOWN,AD,FDR-1_DOWN_36
FDR-1_DOWN,AD,FDR-1_DOWN_37
FDR-1_DOWN,AD,FDR-1_DOWN_38
FDR-1_DOWN,AD,FDR-1_DOWN_39
FDR-1_DOWN,AD,FDR-1_DOWN_40
FDR-1_DOWN,AD,FDR-1_DOWN_41
FDR-1_DOWN,AD,FDR-1_DOWN_42
FDR-1_DOWN,AD,FDR-1_DOWN_43
FDR-1_DOWN,AD,FDR-1_DOWN_44
FDR-1_DOWN,AD,FDR-1_DOWN_45
FDR-1_DOWN,AD,FDR-1_DOWN_46
FDR-1_DOWN,AD,FDR-1_DOWN_47
FDR-1_DOWN,AD,FDR-1_DOWN_48
FDR-1_DOWN,AD,FDR-1_DOWN_49
FDR-1_DOWN,AD,FDR-1_DOWN_50
FDR-1_DOWN,AD,FDR-1_DOWN_51
FDR-1_DOWN,AD,FDR-1_DOWN_52
FDR-1_DOWN,AD,FDR-1_DOWN_53
FDR-1_DOWN,AD,FDR-1_DOWN_54
G-1_UP,AD,G-1_UP_1
G-1_UP,AD,G-1_UP_2
G-1_UP,AD,G-1_UP_3
G-1_UP,AD,G-1_UP_4
G-1_UP,AD,G-1_UP_5
G-1_UP,AD,G-1_UP_6
G-1_UP,AD,G-1_UP_7
G-1_UP,AD,G-1_UP_8
G-1_UP,AD,G-1_UP_9
G-1_UP,AD,G-1_UP_10
G-1_UP,AD,G-1_UP_11
G-1_UP,AD,G-1_UP_12
G-1_UP,AD,G-1_UP_13
G-1_UP,AD,G-1_UP_14
G-1_UP,AD,G-1_UP_15
G-1_UP,AD,G-1_UP_16
G-1_UP,AD,G-1_UP_17
G-1_UP,AD,G-1_UP_18
G-1_UP,AD,G-1_UP_19
G-1_UP,AD,G-1_UP_20
G-1_UP,AD,G-1_UP_21
G-1_UP,AD,G-1_UP_22
G-1_UP,AD,G-1_UP_23
G-1_UP,AD,G-1_UP_24
G-1_UP,AD,G-1_UP_25
G-1_UP,AD,G-1_UP_26
G-1_UP,AD,G-1_UP_27
G-1_UP,AD,G-1_UP_28
G-1_UP,AD,G-1_UP_29
G-1_UP,AD,G-1_UP_30
G-1_UP,AD,G-1_UP_31
G-1_UP,AD,G-1_UP_32
G-1_UP,AD,G-1_UP_33
G-1_UP,AD,G-1_UP_34
G-1_UP,AD,G-1_UP_35
G-1_UP,AD,G-1_UP_36
G-1_UP,AD,G-1_UP_37
G-1_UP,AD,G-1_UP_38
G-1_UP,AD,G-1_UP_39
G-1_UP,AD,G-1_UP_40
G-1_UP,AD,G-1_UP_41
G-1_UP,AD,G-1_UP_42
G-1_UP,AD,G-1_UP_43
G-1_UP,AD,G-1_UP_44
G-1_UP,AD,G-1_UP_45
G-1_UP,AD,G-1_UP_46
G-1_UP,AD,G-1_UP_47
G-1_UP,AD,G-1_UP_48
G-1_UP,AD,G-1_UP_49
G-1_UP,AD,G-1_UP_50
G-1_UP,AD,G-1_UP_51
G-1_UP,AD,G-1_UP_52
G-1_UP,AD,G-1_UP_53
G-1_UP,AD,G-1_UP_54
G-1_UP,AD,G-1_UP_55
G-1_UP,AD,G-1_UP_56
G-1_UP,AD,G-1_UP_57
G-1_UP,AD,G-1_UP_58
G-1_UP,AD,G-1_UP_59
G-1_UP,AD,G-1_UP_60
G-1_UP,AD,G-1_UP_61
G-1_UP,AD,G-1_UP_62
G-1_UP,AD,G-1_UP_63
G-1_UP,AD,G-1_UP_64
G-1_UP,AD,G-1_UP_65
G-1_UP,AD,G-1_UP_66
G-1_UP,AD,G-1_UP_67
G-1_UP,AD,G-1_UP_68
G-1_UP,AD,G-1_UP_69
G-1_UP,AD,G-1_UP_70
G-1_UP,AD,G-1_UP_71
G-1_UP,AD,G-1_UP_72
G-1_UP,AD,G-1_UP_73
G-1_UP,AD,G-1_UP_74
G-1_UP,AD,G-1_UP_75
G-1_UP,AD,G-1_UP_76
G-1_UP,AD,G-1_UP_77
G-1_UP,AD,G-1_UP_78
G-1_UP,AD,G-1_UP_79
G-1_UP,AD,G-1_UP_80
K-1_UP,AD,K-1_UP_1
K-1_UP,AD,K-1_UP_2
K-1_UP,AD,K-1_UP_3
K-1_UP,AD,K-1_UP_4
K-1_UP,AD,K-1_UP_5
K-1_UP,AD,K-1_UP_6
K-1_UP,AD,K-1_UP_7
K-1_UP,AD,K-1_UP_8
K-1_UP,AD,K-1_UP_9
K-1_UP,AD,K-1_UP_10
K-1_UP,AD,K-1_UP_11
K-1_UP,AD,K-1_UP_12
K-1_UP,AD,K-1_UP_13
K-1_UP,AD,K-1_UP_14
K-1_UP,AD,K-1_UP_15
K-1_UP,AD,K-1_UP_16
K-1_UP,AD,K-1_UP_17
K-1_UP,AD,K-1_UP_18
K-1_UP,AD,K-1_UP_19
K-1_UP,AD,K-1_UP_20
K-1_UP,AD,K-1_UP_21
K-1_UP,AD,K-1_UP_22
K-1_UP,AD,K-1_UP_23
K-1_UP,AD,K-1_UP_24
K-1_UP,AD,K-1_UP_25
K-1_UP,AD,K-1_UP_26
K-1_UP,AD,K-1_UP_27
K-1_UP,AD,K-1_UP_28
K-1_UP,AD,K-1_UP_29
K-1_UP,AD,K-1_UP_30
K-1_UP,AD,K-1_UP_31
K-1_DOWN,AD,K-1_DOWN_1
K-1_DOWN,AD,K-1_DOWN_2
K-1_DOWN,AD,K-1_DOWN_3
K-1_DOWN,AD,K-1_DOWN_4
K-1_DOWN,AD,K-1_DOWN_5
K-1_DOWN,AD,K-1_DOWN_6
K-1_DOWN,AD,K-1_DOWN_7
K-1_DOWN,AD,K-1_DOWN_8
K-1_DOWN,AD,K-1_DOWN_9
K-1_DOWN,AD,K-1_DOWN_10
K-1_DOWN,AD,K-1_DOWN_11
K-1_DOWN,AD,K-1_DOWN_12
K-1_DOWN,AD,K-1_DOWN_13
K-1_DOWN,AD,K-1_DOWN_14
K-1_DOWN,AD,K-1_DOWN_15
K-1_DOWN,AD,K-1_DOWN_16
K-1_DOWN,AD,K-1_DOWN_17
K-1_DOWN,AD,K-1_DOWN_18
K-1_DOWN,AD,K-1_DOWN_19
K-1_DOWN,AD,K-1_DOWN_20
K-1_DOWN,AD,K-1_DOWN_21
K-1_DOWN,AD,K-1_DOWN_22
K-1_DOWN,AD,K-1_DOWN_23
K-1_DOWN,AD,K-1_DOWN_24
K-1_DOWN,AD,K-1_DOWN_25
K-1_DOWN,AD,K-1_DOWN_26
K-1_DOWN,AD,K-1_DOWN_27
K-1_DOWN,AD,K-1_DOWN_28
K-1_DOWN,AD,K-1_DOWN_29
K-1_DOWN,AD,K-1_DOWN_30
K-1_DOWN,AD,K-1_DOWN_31
K-1_DOWN,AD,K-1_DOWN_32
K-1_DOWN,AD,K-1_DOWN_33
KHC-1_UP,AD,KHC-1_UP_1
KHC-1_UP,AD,KHC-1_UP_2
KHC-1_UP,AD,KHC-1_UP_3
KHC-1_UP,AD,KHC-1_UP_4
KHC-1_UP,AD,KHC-1_UP_5
KHC-1_UP,AD,KHC-1_UP_6
KHC-1_UP,AD,KHC-1_UP_7
KHC-1_UP,AD,KHC-1_UP_8
KHC-1_DOWN,AD,KHC-1_DOWN_1
KHC-1_DOWN,AD,KHC-1_DOWN_2
KHC-1_DOWN,AD,KHC-1_DOWN_3
KHC-1_DOWN,AD,KHC-1_DOWN_4
KHC-1_DOWN,AD,KHC-1_DOWN_5
KHC-1_DOWN,AD,KHC-1_DOWN_6
KHC-1_DOWN,AD,KHC-1_DOWN_7
KHC-1_DOWN,AD,KHC-1_DOWN_8
MBS-1_UP,AD,MBS-1_UP_1
MBS-1_UP,AD,MBS-1_UP_2
MBS-1_UP,AD,MBS-1_UP_3
MBS-1_UP,AD,MBS-1_UP_4
MBS-1_UP,AD,MBS-1_UP_5
MBS-1_DOWN,AD,MBS-1_DOWN_1
MBS-1_DOWN,AD,MBS-1_DOWN_2
MBS-1_DOWN,AD,MBS-1_DOWN_3
MBS-1_DOWN,AD,MBS-1_DOWN_4
MBS-1_DOWN,AD,MBS-1_DOWN_5
MF-1_UP,AD,MF-1_UP_1
MF-1_UP,AD,MF-1_UP_2
MF-1_UP,AD,MF-1_UP_3
MF-1_UP,AD,MF-1_UP_4
MF-1_UP,AD,MF-1_UP_5
MF-1_UP,AD,MF-1_UP_6
MF-1_UP,AD,MF-1_UP_7
MF-1_UP,AD,MF-1_UP_8
MF-1_UP,AD,MF-1_UP_9
MF-1_UP,AD,MF-1_UP_10
MF-1_UP,AD,MF-1_UP_11
MF-1_UP,AD,MF-1_UP_12
MF-1_UP,AD,MF-1_UP_13
MF-1_UP,AD,MF-1_UP_14
MF-1_UP,AD,MF-1_UP_15
MF-1_UP,AD,MF-1_UP_16
MF-1_UP,AD,MF-1_UP_17
MF-1_UP,AD,MF-1_UP_18
MF-1_UP,AD,MF-1_UP_19
MF-1_UP,AD,MF-1_UP_20
MF-1_UP,AD,MF-1_UP_21
MF-1_UP,AD,MF-1_UP_22
MF-1_UP,AD,MF-1_UP_23
MF-1_UP,AD,MF-1_UP_24
MF-1_UP,AD,MF-1_UP_25
MF-1_UP,AD,MF-1_UP_26
MF-1_UP,AD,MF-1_UP_27
MF-1_UP,AD,MF-1_UP_28
MF-1_UP,AD,MF-1_UP_29
MF-1_UP,AD,MF-1_UP_30
MF-1_UP,AD,MF-1_UP_31
MF-1_UP,AD,MF-1_UP_32
MF-1_UP,AD,MF-1_UP_33
MF-1_UP,AD,MF-1_UP_34
MF-1_UP,AD,MF-1_UP_35
MF-1_UP,AD,MF-1_UP_36
MF-1_UP,AD,MF-1_UP_37
MF-1_UP,AD,MF-1_UP_38
MF-1_UP,AD,MF-1_UP_39
MF-1_UP,AD,MF-1_UP_40
MF-1_UP,AD,MF-1_UP_41
MF-1_UP,AD,MF-1_UP_42
MF-1_UP,AD,MF-1_UP_43
MF-1_UP,AD,MF-1_UP_44
MF-1_UP,AD,MF-1_UP_45
MF-1_UP,AD,MF-1_UP_46
MF-1_UP,AD,MF-1_UP_47
MF-1_UP,AD,MF-1_UP_48
MF-1_UP,AD,MF-1_UP_49
MF-1_UP,AD,MF-1_UP_50
MF-1_UP,AD,MF-1_UP_51
MF-1_UP,AD,MF-1_UP_52
MF-1_UP,AD,MF-1_UP_53
MF-1_UP,AD,MF-1_UP_54
MF-1_UP,AD,MF-1_UP_55
MF-1_UP,AD,MF-1_UP_56
MF-1_UP,AD,MF-1_UP_57
MF-1_UP,AD,MF-1_UP_58
MF-1_UP,AD,MF-1_UP_59
MF-1_UP,AD,MF-1_UP_60
MF-1_UP,AD,MF-1_UP_61
MF-1_UP,AD,MF-1_UP_62
MF-1_UP,AD,MF-1_UP_63
MF-1_UP,AD,MF-1_UP_64
MF-1_DOWN,AD,MF-1_DOWN_1
MF-1_DOWN,AD,MF-1_DOWN_2
MF-1_DOWN,AD,MF-1_DOWN_3
MF-1_DOWN,AD,MF-1_DOWN_4
MF-1_DOWN,AD,MF-1_DOWN_5
MF-1_DOWN,AD,MF-1_DOWN_6
MF-1_DOWN,AD,MF-1_DOWN_7
MF-1_DOWN,AD,MF-1_DOWN_8
